Exchange, URL, REPO, DOCS, DEX GRADE, Status, Protocol, Reference, Asset, DLT, ORG, 
Infinity,https://www.hycon.io/,https://github.com/Team-Hycon,https://hycon.io/wp-content/uploads/2018/08/whitepaper1.2.2_en.pdf, , dev, spectre protocol, , , , , 
INSTEX,https://app.instex.io/, , , , operating, 0x protocol, , , Ethereum, , 
Interstellar,https://interstellar.exchange/, , , FULLY, operating, stellar protocol, , , Stellar, , 
InziderX,https://inziderx.io/, ,https://inziderx.io/docs/InziderX.io-Whitepaper.pdf, , dev, TBC, , , , , 
Javvy,https://javvy.com/,https://github.com/javvycrypto,https://javvy.com/wp-content/uploads/2017/09/javvy_crypto-solution-white-paper.pdf, , dev, TBC, , , , , 
JOYSO,https://joyso.io/, ,https://joyso.io/wp-content/uploads/2018/11/JOYSO-whitepaper.pdf, , ICO, hex protocol,3, , , , 
Komodo,https://www.komodoplatform.com/,https://github.com/KomodoPlatform,https://www.komodoplatform.com/wp-content/uploads/2018/06/Komodo-Whitepaper-June-3.pdf, , dev, komodo protocol,2, N/A, Komodo, , 
KyberNetwork,https://kyber.network,https://github.com/kyberNetwork/,https://developer.kyber.network/docs/Start/, , live, kyber protocol, , ERC20 Tokens, Ethereum, , 
KyberSwap,https://kyber.network/swap,https://github.com/KyberNetwork/KyberSwap, , , live, kyber protocol, , ERC20 Tokens, Ethereum, , 
LAtoken,https://www.latoken.com/, , , , operating, spectre protocol DAG, , , , , 
LedgerDex,https://www.ledgerdex.com/,https://github.com/ledgerdex, , , operating - beta, 0x protocol, , , , , 
Legolas Exchange,https://lgo.exchange/, ,https://lgo.group/pdf/legolas-whitepaper-part-2.pdf, , dev - ICO Q1 2018, legolas protocol,3, , , , 
Lendroid,https://www.lendroid.com/,https://github.com/lendroidproject,https://uploads-ssl.webflow.com/5b3d0e23faf03c5dc943df64/5b3d0e23faf03c96e243df86_whitepaper-margin-trading-2-18.pdf, , dev, lendroid protocol, , ERC20 Tokens, Ethereum, , 
Leverj,https://leverj.io/,https://github.com/leverj,https://leverj.io/whitepaper.pdf, , dev, leverj protocol,5, , , , 
LinkerCoin,https://www.linkercoin.com/,https://github.com/linkercoinfoundation/Linker-Coin-Project,https://docs.wixstatic.com/ugd/4e7588_4bd05b0a780f42849f44280af1a51189.pdf, , dev, linker protocol, , , , , 
LocalCoinSwap,https://www.localcoinswap.com/,https://github.com/LocalCoinSwap,https://static.localcoinswap.com/exchange/assets/docs/LocalCoinSwap_whitepaper_v1.0.pdf, , dev, lcs protocol, , , , , 
Loopring,https://loopring.org,https://github.com/loopring,https://github.com/Loopring/whitepaper/blob/master/en_whitepaper.pdf, , operating, loopring protocol,2, ERC20 Tokens, Ethereum, , 
Lykke,https://www.lykke.com/exchange,https://github.com/LykkeCity/,https://www.lykke.com/media/Whitepaper_LykkeExchange.pdf, , operating, TBC,4, , , , 
MARKET Protocol,https://www.marketprotocol.io/,https://github.com/MarketProject/MarketProtocol,https://marketprotocol.io/assets/MARKET_Protocol-Whitepaper.pdf, , dev, MARKET Protocol, , Derivatives, Ethereum, , 
Melon,https://melonport.com/,https://github.com/melonproject/,https://github.com/melonproject/paper/blob/master/melonprotocol.pdf, , operating, melonport protocol,2, ERC20 Tokens - Melon Fund Shares, Ethereum, , 
